,Aircraft Model,Empty Weight (kg),Maximum Takeoff Weight (kg),Maximum Landing Weight (kg),Center of Gravity Limits,Wing Loading (kg/m²),Tail Loading (kg/m²),Fuel Capacity (liters),Number of Passengers,Cargo Capacity (kg),Maximum Altitude (ft),Maximum Speed (knots),Engine Type,Fuselage Length (m)
5349,Boeing 777,107145.76558551996,486470.35888302966,399264.5084304537,20%-35% of MAC,815.6960505823106,194.56697549785736,114519.59894283683,358,83634.50400871805,58038,468,Piston,30.508812254574774
5350,Boeing 747-8,67439.21899823264,282899.03895336774,94651.455132447,15%-30% of MAC,482.7651207867364,123.91750779610764,54770.45591140749,409,32850.808275920004,43276,429,Turbofan,49.789164691275154
5351,Boeing 777,268992.7447583543,757776.9468145161,506937.7972835868,20%-40% of MAC,937.1716428054772,180.3277916268338,121844.70186036549,156,98374.4704507738,27921,473,Piston,29.89104278832049
5352,Cessna 172,12218.990971727804,28969.669070223677,24135.99230658394,25%-35% of MAC,409.49775275524064,167.7369210313621,153359.9334822013,138,53155.1632880623,39278,637,Turbofan,72.79457847430325
5353,Beechcraft King Air 350,267081.484806297,873418.6712672844,491040.07705113967,15%-30% of MAC,698.2980942231621,45.544999558627765,1512.1711804568658,234,26940.23743406856,40524,691,Turbofan,84.08541926458086
5354,Boeing 747-8,164746.15165730266,788570.4432765302,329911.59961200383,20%-40% of MAC,799.2052169117371,41.48575930298623,185258.01315809955,83,55053.37272602264,30597,673,Turbofan,48.42619191132414
5355,Airbus A380,122983.68403749146,534534.3309528814,439924.56846385374,25%-35% of MAC,997.1587181611768,62.41384406830509,305826.6838512381,475,22335.108075562595,44590,501,Turbofan,36.4655574543792
5356,Airbus A320,213257.02275795775,451272.2905520067,400224.3973764308,15%-30% of MAC,508.2748446292021,176.36017418567428,48981.02135995036,420,30329.725792750563,37109,550,Turbofan,95.50150379234566
5357,Boeing 737-800,35217.01578298519,135140.55239170828,91821.3654924832,35%-45% of MAC,618.2498497116633,127.3425761090484,384395.12575087626,385,27697.442413799738,50159,650,Turbofan,82.21184017580929
5358,Airbus A380,248836.18079402612,538396.6913293524,408810.41159113,25%-35% of MAC,973.4726320176178,31.369892705474385,471461.5123668527,65,54358.60710328811,41513,626,Turbofan,43.30329105049076
5359,Embraer E190,76712.76599045398,272011.4395021959,263411.5967650245,20%-35% of MAC,399.7992835630898,54.014927596818026,426013.9093032716,414,38369.172053457856,59163,456,Turboprop,16.70172231547283
5360,Airbus A380,246764.6243855231,1021554.8626767836,978848.2007443876,20%-40% of MAC,488.5059146784725,140.19492025571094,24193.42522518357,447,60433.671093671706,44593,420,Turbofan,40.98214269701457
5361,Airbus A380,269583.7924913322,410348.01277337887,324483.420222761,15%-30% of MAC,730.6037406948467,37.11796568174916,442765.42580670805,491,78352.64720062858,54398,496,Turboprop,62.49133023722336
5362,Embraer E190,149218.58253532587,160716.588993641,154995.8676742583,25%-35% of MAC,959.6442675928148,107.4144305622918,271776.7508990469,368,5279.605622918531,59591,620,Turbofan,86.3416910727185
5363,Boeing 777,288218.56668650225,1039544.7486314634,886152.3776254978,20%-40% of MAC,417.8964425796372,66.5919669767258,324322.30660832155,64,36119.91308629722,40805,602,Turboprop,71.79511319995532
5364,Embraer E190,227863.80528774948,615842.7673592762,352066.6138330427,20%-35% of MAC,448.2278458470772,178.9829645832002,171790.20504573494,264,75160.16671420459,47799,509,Turbofan,22.12927794994573
5365,Bombardier Global 6000,54765.51462518891,206779.6011373372,102971.84591664502,35%-45% of MAC,774.036614271123,84.8303275912911,294079.0042027325,91,41670.06290384516,40343,655,Piston,38.42445105221968
5366,Bombardier Global 6000,186518.88391728196,319694.12905791565,220188.2204227345,20%-40% of MAC,876.1526580325407,23.59023022183301,142271.4905669826,290,71656.47811077074,48511,481,Turboprop,43.81185344802482
5367,Airbus A320,204928.9749266034,274915.9539407891,217062.0491903764,25%-35% of MAC,516.8960752792348,76.48603396526738,32824.044246403326,444,85008.43043929465,52599,661,Turboprop,86.8997866177841
5368,Beechcraft King Air 350,103528.50652786143,294267.3611392584,151806.0975816019,25%-35% of MAC,665.2276565594111,37.90166653575372,39277.026970178485,275,33275.765288164526,31348,463,Turboprop,48.13613071198501
5369,Airbus A380,261382.377224174,1207562.9417971375,649145.1149085728,20%-40% of MAC,794.3647466354471,86.94566668352908,461233.10162890406,134,6220.967230313637,29267,644,Piston,83.95460702050181
5370,Airbus A320,162228.17796588357,232631.57215571613,202433.24088802247,20%-40% of MAC,770.7937516015342,102.53357750154886,169908.017150509,270,31226.028030686717,28694,655,Turbofan,23.954451075469407
5371,Embraer E190,149062.37868997524,516075.5613039721,209782.2470537453,20%-40% of MAC,670.6734686918157,129.71681651858725,394553.6180955732,407,12702.853546645243,49836,581,Turbofan,34.6467445580536
5372,Bombardier Global 6000,15625.757313455666,17935.627565057937,16318.70081910422,20%-40% of MAC,939.3828331053724,192.0998090596852,405339.59745111,204,97282.57524773924,57371,431,Turbofan,67.43364735583799
5373,Airbus A380,252096.858079028,263537.9473601773,259785.7520629366,15%-30% of MAC,630.8034871319082,61.45135003366093,438596.4846132892,331,36349.47216508877,36980,616,Turbofan,81.00689739897356
5374,Bombardier Global 6000,266660.6595571953,300647.2505172055,292520.5978529615,35%-45% of MAC,461.597850199546,77.20708992955146,352586.662928348,328,76947.56511116071,29576,415,Piston,14.138359573625646
5375,Airbus A320,282632.91683680326,1086282.1626174862,1001224.1345894132,20%-40% of MAC,326.99685853791846,169.37729221441086,366731.9900367382,384,55423.68738507034,55199,422,Turboprop,98.08125164763712
5376,Bombardier Global 6000,131581.34778613376,514595.6324978552,368998.250691828,20%-40% of MAC,791.6945735595588,143.81193389836804,51085.20729393509,254,73756.06520367476,52862,405,Turbofan,97.25431826501134
5377,Boeing 747-8,274613.2274224827,433518.4095253063,338127.3566224422,20%-40% of MAC,686.9091553202834,50.66849741748817,119945.27747411568,238,47330.34691489968,41818,565,Turboprop,70.60722241949802
5378,Cessna 172,197258.09595413937,783672.5896321178,445699.887193626,20%-40% of MAC,586.9482373936223,100.09505403732764,41829.09520389141,162,86030.80188289951,31625,472,Turbofan,29.611840014830182
5379,Boeing 737-800,109356.74443281368,140565.20239519,112159.04536193708,25%-35% of MAC,963.8002582587576,82.61745750637549,256475.6962394284,142,28064.89480956248,23933,679,Turboprop,16.98069907090325
5380,Embraer E190,183052.1087822124,726374.0858601375,593800.6571539193,20%-40% of MAC,459.340757300672,46.77899336947722,263948.50255207345,234,88004.6942327744,55924,647,Piston,25.07178877385357
5381,Boeing 747-8,4871.639007511591,17947.390611984163,4891.908603062994,15%-30% of MAC,507.0759994867015,182.9358325741855,377323.87610097736,293,55252.373569127376,47966,413,Turboprop,15.883125312881544
5382,Gulfstream G650,65620.50447095896,284887.9163684057,162641.6230363071,20%-40% of MAC,287.0756040309866,174.92075846434807,307755.6305428362,91,17912.79003167011,48351,580,Turboprop,35.02119906447298
5383,Gulfstream G650,152811.07419083524,588395.4313609195,174873.5631155978,20%-35% of MAC,453.7471596436613,148.84163211248102,311048.2064607453,204,80478.76909742245,41109,692,Turboprop,89.30727001450519
5384,Embraer E190,270754.7996708059,1018218.6501688124,295132.7389693182,15%-30% of MAC,745.1429908807457,53.11094073315204,490554.5521298261,299,57114.1714276101,47579,581,Turbofan,36.19933432623091
5385,Gulfstream G650,246114.26137874645,794531.7714660963,352336.4115189566,25%-35% of MAC,926.0740112623516,116.81338473150868,164970.45096180346,316,41176.09138002843,23713,412,Piston,17.944477041123708
5386,Embraer E190,95186.17347623332,354439.6587365192,311860.4978833486,20%-40% of MAC,995.63652934107,41.943011408974655,166019.4000393803,297,87909.49549636936,25720,627,Piston,23.21114497127607
5387,Embraer E190,5901.232389705436,10283.375612879652,9008.34021674197,20%-40% of MAC,261.35031424677726,155.62511555709435,457000.588710452,278,65201.30988971456,22676,494,Turboprop,22.85444263101049
5388,Airbus A320,53777.57129082169,91861.37862498227,64861.37390981862,20%-40% of MAC,834.6871572968922,189.4420766755877,466146.3284839832,328,25722.916010870653,34579,543,Turboprop,95.9665456697994
5389,Airbus A320,97903.35004057972,240310.7809435944,129045.59022328284,20%-35% of MAC,481.1796186268688,190.6953726857576,207927.784648288,260,7135.286279400906,46794,502,Turboprop,12.342622516124903
5390,Boeing 747-8,242315.8640876605,1198320.335834921,1058150.677856977,20%-35% of MAC,532.1911091863496,62.09325704582988,274606.87958724325,273,21615.95886424173,49414,557,Turbofan,74.97051865231566
5391,Beechcraft King Air 350,295067.1506341733,1415394.9419595771,1000558.3177110112,25%-35% of MAC,896.8759467961357,145.94288632722066,347539.1133389317,402,67861.45863967258,26425,517,Piston,11.340549042070064
5392,Cessna 172,100901.23330361945,198715.57944967484,185817.8988504259,15%-30% of MAC,454.9102573605822,137.02182291925686,342244.9973008698,390,93474.86861784112,37518,564,Piston,81.79543849908916
5393,Cessna 172,164752.08501815828,538961.135824823,522957.781926989,15%-30% of MAC,578.294785134467,164.2491622994605,363973.29305779823,198,31157.819622464176,55325,655,Turboprop,17.120794878416838
5394,Boeing 777,146170.96041039738,221622.86795387775,194709.677749452,20%-35% of MAC,959.4996390509052,46.61392835509255,143080.08113833165,65,29368.91500868139,53338,442,Turboprop,68.03745143643526
5395,Embraer E190,80063.58102980941,269996.2124872003,87522.13829970786,20%-40% of MAC,327.72204929622893,98.18606506655198,40652.48797698048,334,41350.55894146799,20883,511,Piston,72.41470347965604
5396,Airbus A380,61413.59583246927,281009.97550278844,214547.9984981134,20%-35% of MAC,337.5788659162868,121.5523009552288,498017.4837379233,93,63275.594186407456,41035,612,Piston,34.30817736038371
5397,Boeing 747-8,254022.6076780392,688200.752557788,622395.4344169152,20%-40% of MAC,952.7473502317026,118.16823483467242,484633.8117061066,318,19421.78154585147,42524,415,Turboprop,56.277695974037776
5398,Gulfstream G650,133519.73589087836,390811.3221659844,146675.95325150044,20%-40% of MAC,948.6143686839542,45.16374641173654,458391.0485346007,188,53047.41899893248,21716,440,Turboprop,47.38417572530732
5399,Airbus A380,104287.11571775224,438084.8915057331,130609.7832469637,25%-35% of MAC,992.1541444098192,114.43406365170938,72808.07738995602,322,92159.5790320721,33834,420,Turbofan,65.94633677089854
5400,Airbus A320,163070.69443780094,587366.8364071867,284211.1796018893,20%-40% of MAC,783.4490759286102,35.06391313907319,204546.66286947552,485,56034.39261635395,48572,681,Piston,38.62285638792625
5401,Bombardier Global 6000,181051.89273756795,479417.43742128793,354523.9642527561,25%-35% of MAC,286.39286453570344,38.06046396587287,316350.182019395,74,12026.52808543139,32713,691,Piston,97.32548959790256
5402,Boeing 777,287435.2540242178,672776.8974091299,300045.9420168919,35%-45% of MAC,819.364720334183,141.54651571386697,302766.63154766307,72,6578.138347760082,51804,421,Turboprop,14.984743864665292
5403,Gulfstream G650,217367.14155163115,654449.7779660744,420937.03038861626,35%-45% of MAC,912.3836080015408,89.49911388998383,249767.9863811442,270,30072.6160082178,27772,407,Turboprop,59.6216331838725
5404,Boeing 737-800,54062.09177230569,148418.88767276838,145953.4556152288,20%-40% of MAC,914.997324691338,32.86729921795072,380597.4346857449,427,48975.751884909776,40430,597,Turbofan,26.91658724211561
5405,Gulfstream G650,16480.16213399609,58766.45838706949,32629.618727956105,20%-40% of MAC,793.2500825355872,161.02525011425865,355691.3033715018,139,5440.610674602652,48717,615,Piston,97.89115799421944
5406,Embraer E190,79114.97019222926,179184.85883506393,123377.42365908936,35%-45% of MAC,971.7159293388836,183.81808064851504,260396.59620508747,72,11853.143912977835,43575,528,Turboprop,70.53814049271838
5407,Cessna 172,75371.5908218954,292508.8737402908,93571.81992165482,25%-35% of MAC,606.3254731756695,118.48998614884896,211995.5630661224,55,34633.572310851654,31343,477,Turboprop,19.70014311408933
5408,Airbus A380,68973.94183604459,153302.4431826379,74361.73640208342,15%-30% of MAC,234.64362061374936,119.0539040314794,142486.3929597738,138,64695.94351369682,39946,407,Piston,60.276744995936966
5409,Airbus A380,161117.07013962034,791109.587242838,750980.7726270333,25%-35% of MAC,254.6755574782537,170.36508189288722,146980.86901454392,106,5563.9415628080615,38824,555,Turboprop,18.509374464402413
5410,Boeing 777,14587.593450286871,71864.88563358143,48577.567672733305,20%-40% of MAC,299.0502237856578,187.6458463070772,41925.86567557617,210,33836.66761802564,29741,458,Turboprop,92.14906601933536
5411,Boeing 777,169695.42909334242,312655.43141382566,216882.0205645356,35%-45% of MAC,591.5174632456299,179.2461476703584,490700.0918892644,185,59795.10209247388,46253,490,Turboprop,60.82962956207487
5412,Boeing 777,108720.7292704386,310130.5262550572,241749.4435481758,20%-35% of MAC,766.6670721351428,165.54625774774635,314474.5451968844,236,49607.194294652094,57466,501,Turbofan,11.549803071663884
5413,Bombardier Global 6000,46359.18811347218,135580.50925383525,47978.1953803876,20%-40% of MAC,216.84637809791383,131.04296474804073,91001.60466526476,381,85585.19758481934,26628,596,Turbofan,42.9774232777223
5414,Bombardier Global 6000,25819.86722465616,113851.56321063564,53612.194651268655,35%-45% of MAC,667.3522407629628,189.72579750192185,402843.5188624506,213,71179.8450561082,59311,594,Turbofan,22.04354707919913
5415,Embraer E190,71592.43070124472,159606.02803527543,86893.93753686621,20%-35% of MAC,616.9356480178675,51.02594041369825,22694.428363698604,236,49823.68494270058,30368,440,Turbofan,59.6550566218351
5416,Airbus A320,170352.73789481967,724360.4657990591,370020.6726904089,20%-40% of MAC,921.088851428263,179.91088563194504,245039.4851498269,110,6630.97459145034,22724,602,Turbofan,15.82539201621522
5417,Embraer E190,202441.57541876868,202466.8505889432,202443.04817043565,25%-35% of MAC,872.3292572400238,105.27293957363318,291587.24222893413,174,74648.6390911075,30856,544,Turboprop,93.83858497610083
5418,Airbus A320,203305.51485356744,859259.8731272251,559747.2763044568,20%-35% of MAC,212.1952592241863,189.22395942326747,177814.3564230206,86,36825.9727503691,21292,553,Turbofan,80.23868816319825
5419,Boeing 747-8,1004.6749461693672,1830.1329212007531,1719.6831672797828,15%-30% of MAC,220.4779071327394,43.020687902354126,432946.9048463404,303,4331.188488887386,36533,531,Turbofan,98.77805672475024
5420,Boeing 747-8,116672.80626850612,329331.5963856221,314623.9041688358,20%-40% of MAC,668.4714698077362,160.71214610978083,143842.32247081032,91,15419.971613111742,36629,538,Turbofan,40.48378879782286
5421,Cessna 172,236337.9622208533,334678.3193217907,315222.823569743,20%-40% of MAC,237.31105596436404,137.13486581672043,337403.7524844924,198,4102.268371368194,35690,442,Turbofan,88.44382168697518
5422,Boeing 737-800,76542.31529372338,269797.0497901699,227297.24851402928,25%-35% of MAC,480.94704502338107,96.72296043191514,210757.3414429245,86,1030.1317846771826,23893,692,Piston,75.05848974704243
5423,Airbus A380,134240.3287807134,637362.1886587973,591738.1845929123,20%-40% of MAC,970.8598498214856,135.85420635981083,355028.0695943368,141,38420.946683001646,50274,568,Turbofan,56.10932852783681
5424,Boeing 777,153777.9806816666,225549.15383797596,189140.24574918995,25%-35% of MAC,474.4038662253519,26.5940584414677,222174.5104735012,251,85920.91502001407,33246,411,Piston,19.392763771781866
5425,Airbus A320,253447.7888446754,1006682.207806356,782668.993096983,20%-40% of MAC,560.3230873797319,36.16805670619313,395782.59061987215,291,34931.82323856972,58210,577,Turbofan,19.563046716711327
5426,Bombardier Global 6000,112099.0864098497,302285.1921545856,223333.0197288263,20%-35% of MAC,666.3853648751127,192.6262622829885,73945.218092478,234,34808.58438460167,59764,493,Piston,34.978601875730114
5427,Bombardier Global 6000,257857.5827496969,759675.2219107712,537790.0680321979,20%-40% of MAC,428.7809015519682,124.17606504942395,246033.81237223116,356,44512.83342824111,52301,631,Piston,49.32714625321777
5428,Beechcraft King Air 350,17858.803597797858,31523.41010611804,19599.53078286397,20%-40% of MAC,526.9614692343373,108.06968851287952,50054.06913564461,211,57752.743681855,43682,460,Turbofan,50.32297379762864
5429,Airbus A380,19512.686249114053,25773.69735658944,19560.384928416664,20%-40% of MAC,768.8964942232568,151.6178328146175,208654.0605293807,183,50933.789083760304,38569,503,Turboprop,71.28460641200827
5430,Airbus A320,60322.83643088226,268248.7612483977,224003.7571294225,20%-40% of MAC,718.3166402011882,61.87378782754604,64394.31928934392,62,72392.87323405054,31224,420,Turbofan,19.374194168200965
5431,Gulfstream G650,207310.5642940479,616110.2862876521,461087.8989588275,25%-35% of MAC,305.0261566504563,137.88101608141534,24392.170136376688,203,62843.585708948856,42140,697,Turbofan,23.712546122276557
5432,Cessna 172,292647.923890768,397523.7333069511,334520.19436302304,35%-45% of MAC,301.10835340467634,53.620881662188985,233540.6497566361,409,28257.73129230612,49398,535,Turboprop,66.04115976162478
5433,Cessna 172,195219.10751749805,298024.7595768915,204503.39315187145,20%-40% of MAC,446.6526567545452,159.92263929185953,169507.31919399762,175,74626.29125494197,56606,648,Turboprop,52.73985852060403
5434,Embraer E190,220674.62162116467,1056619.7745573667,923348.392708085,20%-40% of MAC,239.24461106048855,44.4726601731429,296445.27519105125,332,83006.76706310573,32934,415,Turboprop,23.393332878914173
5435,Boeing 777,290216.5019547841,660694.115570213,641712.0530589102,25%-35% of MAC,227.6887065610035,186.5015625908931,317525.79438552,265,46214.31238775575,52991,681,Piston,60.82061803796528
5436,Airbus A380,246620.83593168133,575997.1627684563,340229.8419042592,20%-35% of MAC,671.665440506229,108.06927676971108,26837.391837907173,292,5433.508207905865,36222,571,Turbofan,12.801152783854782
5437,Airbus A380,209451.89705506747,894310.9937516359,639933.5354368126,20%-35% of MAC,604.0960086204307,49.9488983160086,401858.7676275882,79,17410.301094727125,50442,565,Turbofan,47.89584647998336
5438,Embraer E190,46355.61858084716,74576.42698500774,59100.68309419284,20%-40% of MAC,972.0987018365907,117.83153446669878,321490.61144360126,94,90246.8699549618,28407,575,Turbofan,48.35150106172227
5439,Cessna 172,146477.57673666184,700541.5016005473,428906.888655637,20%-35% of MAC,518.4372132360112,52.09456221545405,203966.81928313975,151,32408.3593869067,36273,638,Turboprop,22.10013344969287
5440,Boeing 747-8,268313.19555941614,843851.9000402242,716978.0808155217,25%-35% of MAC,687.703986746302,73.12852815532187,281805.0967618164,311,46273.82238657928,28829,639,Piston,44.84970350171153
5441,Gulfstream G650,172509.65262245445,692773.3274663638,391585.9814649103,15%-30% of MAC,207.1281327263324,171.92611293084013,172060.2163476071,395,95798.5480749688,57983,451,Piston,76.92941870164667
5442,Airbus A380,238848.54936789785,383505.0287287893,358740.909407184,20%-40% of MAC,951.4787139385696,109.84715018815368,215353.27300582916,85,76458.78296072959,59566,532,Turbofan,73.29322795806397
5443,Beechcraft King Air 350,73180.11889399968,344452.65895706887,212555.7760697493,20%-40% of MAC,847.5487782114253,64.12970569145216,364752.6816599451,497,48097.61543437349,53253,477,Piston,34.41456520612548
5444,Embraer E190,156602.265638298,544795.305216507,189234.97758173864,20%-40% of MAC,948.3463350392922,184.5515650258477,320329.5535517532,279,78964.74112960127,38789,450,Turbofan,81.38964221823686
5445,Boeing 747-8,203481.6653728471,1005706.5532483732,323419.72456581355,20%-40% of MAC,631.4705730850562,87.68835421503233,275943.5883212644,384,35288.77983801342,53469,562,Piston,95.45843134201888
5446,Boeing 747-8,206687.16462860667,870001.5115306469,706793.1995711525,35%-45% of MAC,914.4644357140512,49.47678035397608,170460.73795298714,491,71264.9179992345,37983,629,Turboprop,40.551029930729385
5447,Airbus A380,101775.8231637933,198520.67899026623,197983.2251365734,35%-45% of MAC,438.6622026148594,185.3879552783769,248987.89242539933,480,20912.61852251786,31464,669,Piston,18.18639552758051
5448,Beechcraft King Air 350,227681.3533271484,626708.570924089,613447.1395999584,35%-45% of MAC,836.0989805108555,28.28624507910953,493957.6316600981,320,44381.45139020955,42631,467,Turboprop,64.10545292200266
5449,Boeing 777,138708.1814378723,215178.61034492447,194063.24003502875,35%-45% of MAC,781.3095125701384,102.99807157089072,278231.41955581534,493,12132.720917714503,23206,566,Turbofan,97.9249524999774
5450,Beechcraft King Air 350,88378.3441587159,426512.57470071054,182505.5463309413,15%-30% of MAC,265.3194891309561,79.32364037203038,241030.92137550184,298,63954.74979774782,30027,586,Turboprop,46.93031831693808
5451,Beechcraft King Air 350,191486.15352270743,567433.7748000047,535026.6155317889,35%-45% of MAC,855.2734489001878,86.44056873149269,158912.11515685645,280,48789.94012308066,31811,436,Turboprop,44.954036704395605
5452,Bombardier Global 6000,228225.4318160661,1130872.976193847,960575.1597662744,20%-35% of MAC,251.80737019238668,80.7839706876736,304775.1008243864,262,30460.39791163861,23440,685,Turboprop,92.6705244428118
5453,Boeing 747-8,142209.9947069305,403694.4918609212,194475.7876320765,20%-40% of MAC,702.8739853605678,185.7090480362827,414338.98318593873,401,15017.536832046197,24411,525,Turboprop,20.943115313958018
5454,Beechcraft King Air 350,27098.425742209198,124103.10074240249,65065.47726469016,25%-35% of MAC,638.0198499890009,40.88743366283651,214508.35949029351,477,15446.54702430864,59338,690,Turboprop,50.017566250700106
5455,Airbus A320,75900.56941793424,241485.15701652068,212184.9738237125,20%-40% of MAC,939.0626486501042,154.827103223302,499036.9961273288,194,18511.400068791336,21601,517,Turbofan,40.93502933210907
5456,Cessna 172,86899.62757571509,425728.8577739962,142122.72862309474,25%-35% of MAC,604.3551969375959,58.498998579741546,458897.24198215554,199,60212.78297133539,37605,695,Turbofan,47.093872884862726
5457,Beechcraft King Air 350,190763.31966090863,321293.1827400427,232410.9048052723,15%-30% of MAC,568.6684422099411,161.36531415883942,493007.85078611673,354,12851.262961078985,31330,627,Piston,47.56210992080355
5458,Boeing 747-8,128007.6277121712,128569.1649950359,128384.14216399968,15%-30% of MAC,833.2509368726263,42.39318311184898,129625.21920817524,359,39652.88881852942,34807,432,Piston,28.49955447915328
5459,Beechcraft King Air 350,150006.1017636601,366715.7090601601,159059.9156374043,25%-35% of MAC,524.5589972064428,93.44947829539888,48795.4045568864,71,60285.34220125155,54941,490,Turbofan,85.18793915828273
5460,Embraer E190,199058.6489687354,607831.604455928,414859.3715362125,35%-45% of MAC,789.4906957805041,66.33643043794089,425184.2821375078,487,63870.46393758176,27749,670,Piston,77.0440010068215
5461,Airbus A320,8841.416090427647,29841.287542274717,21344.74689795845,20%-40% of MAC,615.6170989765687,67.66580341517977,193630.3103692645,344,89356.80233967677,59055,464,Piston,95.28024536244595
5462,Gulfstream G650,12057.520273251364,31424.115476520343,25468.843552319813,20%-35% of MAC,971.5002267932466,32.44952608354939,222868.67096429557,285,14118.237535994693,29989,400,Turbofan,28.77751185168026
5463,Airbus A380,49476.60132091631,111687.14688419466,103975.76657521636,20%-40% of MAC,479.1050015661971,109.89674448104604,489420.5584716577,298,50709.2676431712,38581,470,Turbofan,94.05355494163273
5464,Boeing 777,40731.32170359302,61431.74417952841,43818.54076803872,20%-40% of MAC,432.5815047993848,173.2750223214251,479445.4323760676,295,52874.93730266136,26486,491,Turboprop,10.457706158783024
5465,Cessna 172,31004.117873231266,97771.22598464266,71334.04947034622,20%-35% of MAC,499.10960997636096,73.43930319878827,268987.12812618015,404,61289.08935745637,21899,405,Turboprop,54.09483593953593
5466,Bombardier Global 6000,178419.66034475347,727319.8692191471,673319.8922395114,20%-40% of MAC,431.0781806409259,136.56932674859058,156941.55711499616,342,65281.52602693657,43687,593,Turboprop,29.228239865546477
5467,Boeing 737-800,28433.571499787377,35352.226272037755,33244.89505152508,15%-30% of MAC,368.1275196315565,103.45668663686884,430573.94204244815,161,36212.004063990295,45735,408,Turbofan,17.213755780586325
5468,Boeing 737-800,15982.306083195002,64886.70339112714,63070.41037831928,35%-45% of MAC,826.5536811188392,100.70096798008647,361695.4117040587,459,35822.55410200419,32495,506,Turboprop,80.92370143814071
5469,Cessna 172,211636.91759495213,211819.44510098957,211775.1641049495,15%-30% of MAC,260.81113318597653,122.76878769982888,369254.6669186136,295,71869.331786478,55640,657,Turboprop,44.7048017474415
5470,Airbus A320,50071.14531023735,189281.6870129839,174554.38387981016,20%-40% of MAC,846.5097094889594,106.803275531858,72460.50377397287,359,18861.92479945757,45106,470,Piston,13.303798116749526
5471,Embraer E190,187883.33614626163,901613.3159420989,673048.0194906789,20%-40% of MAC,601.5804162184954,140.00288164493816,222725.64809728792,236,50163.305932077004,36203,645,Turbofan,64.97116602373546
5472,Boeing 777,676.5802878086831,986.1270249913172,952.1411287261972,20%-35% of MAC,280.7951222003827,57.71158771508135,421586.70662706473,391,25013.040949582668,24404,584,Turboprop,40.64078959486204
5473,Airbus A380,181491.01147373643,469686.8974414912,257222.28940494184,15%-30% of MAC,802.4110196518626,110.7582167533861,200847.2312627961,256,89441.02920011755,57742,415,Piston,52.13267926550983
5474,Embraer E190,95827.36273293608,406825.0298052169,384349.66247845546,25%-35% of MAC,909.6283078583232,127.62239261483218,402729.4998231618,78,28471.325446829454,58636,447,Turbofan,76.41622045717779
5475,Boeing 777,17415.705813755438,27716.2876516856,21555.234467941704,25%-35% of MAC,409.14876054659607,133.73879623234646,128261.54713490856,60,6227.416313626077,22966,688,Turbofan,67.97820700467692
5476,Airbus A320,154524.92809335596,542813.5415679716,388401.2441965096,25%-35% of MAC,547.6546384150778,187.98236344039503,215000.54862085904,360,32842.48086969381,31210,417,Turbofan,10.143557697163889
5477,Boeing 777,199816.94256747077,343345.37872996915,218915.60145586773,15%-30% of MAC,210.25046460020815,140.98715602075328,411275.9633669714,402,45796.73044786986,56403,575,Piston,40.524939599468894
5478,Cessna 172,131941.9083591265,398624.0401957759,373831.6271994175,20%-40% of MAC,651.1016965930876,42.96758426375334,87879.79356762854,420,42229.39308105567,31507,661,Turbofan,91.44903196808538
5479,Beechcraft King Air 350,173045.1608535479,651749.9041013791,295640.53189927386,35%-45% of MAC,355.68084053352175,139.11750469847505,372088.2016950163,436,76142.09277621728,30260,551,Piston,40.80399308190376
5480,Embraer E190,44748.536019140185,206311.22292163252,92982.53357831742,20%-40% of MAC,711.3306474806086,20.408647614620005,437452.44675615913,101,19900.27557698542,58257,690,Turboprop,80.14137613278459
5481,Airbus A320,277330.0751608078,980381.0662347744,632862.8131009955,20%-35% of MAC,915.3429978002566,122.54861545263876,42172.90342876103,493,2378.7818759761585,28476,506,Piston,26.87612005234472
5482,Gulfstream G650,172354.939192971,797009.7724830717,683194.5867771927,20%-40% of MAC,889.2158141686818,194.18956194742017,360517.34975471615,305,98521.386848806,25351,646,Piston,44.58073580763451
5483,Beechcraft King Air 350,299168.2928106229,1143752.1164080182,846597.1907176351,20%-35% of MAC,437.5248401251556,168.71788114862915,353807.68302572623,296,16465.850263572975,26889,631,Turboprop,11.640672751591936
5484,Embraer E190,205486.8777085014,320428.614732414,302066.8981685908,20%-40% of MAC,919.3873220371968,99.7823340298818,93287.60190281727,53,52086.48116180462,35440,508,Turbofan,43.24831411607446
5485,Embraer E190,243778.61686461596,1000465.5764121516,886335.0366518751,25%-35% of MAC,318.49949280883624,32.440294427162314,450551.31279207335,405,62613.69427804439,48006,576,Turboprop,61.1080041548644
5486,Boeing 777,110572.17208911918,186314.6303798246,116790.50318855072,20%-40% of MAC,341.105639764481,197.6402662291889,167884.76613286132,152,21457.23650619138,30493,479,Turboprop,56.57817298071578
5487,Boeing 777,182978.82656816853,259031.06628673663,223702.55504300428,25%-35% of MAC,225.59807926107248,103.43264347752891,357503.7706595315,107,17586.1172926132,49928,593,Piston,75.00723001404447
5488,Embraer E190,177344.3254660364,796036.5969582184,460033.8222088757,20%-40% of MAC,491.0839462799097,189.0679789905701,264237.1034933254,163,86655.66825420564,27559,617,Turboprop,10.143616660045344
5489,Boeing 747-8,171135.8224980818,379850.56112881785,175552.6182306783,35%-45% of MAC,527.9038317475524,33.091846430396345,125063.79666622284,148,40205.28854523837,24731,527,Turboprop,49.8606656204788
5490,Boeing 747-8,257063.590249615,732352.6655326082,670740.4923189052,25%-35% of MAC,850.7597912515658,41.72332741835244,45697.53824579716,274,40917.75428716437,42794,697,Turbofan,50.33172507748587
